,Year,Month,Latitude,Longitude,Depth,Region,Coral_cover,Reef_complexity,SST,NPP,Wave_exposure,Habitat_type_classLV2,Coral_area_UFRTM_20km,Coral_area_UFRTM_200km,Depth_Sbrocco,Deepwater,FSA,Marina_slips_10km,Marina_slips_25km,Marine_reserve,Population_20km,Population_50km,Recreational_fishermen_50km,Tourist_fishing,SG_permits_50km,SG_charter_permits_25km,Total_gravity,Keys_Divisions,Nursery_mangroves,Commercial_pounds_landed,Pop_per_area_reef_20km,impact,HABITAT_CD,Diversity_index
0,2005,August,24.4464334,-81.9628999,9.8,FLA KEYS,2.0,0.55032175,23.5953918,550.8650513,6.992729187,Aggregate Reef,88333,1040643,-10.0,1182.842773,3621.320313,0,391,Open,4163,41070,7446,1.64903383,54,0,69.0,Marquesas,199409.3125,1511066.2,0.04712848,0.205,ISOL_LR,0.877754941
1,2005,June,24.4611303,-81.84009889,8.821212121,FLA KEYS,6.181818182,1.886363636,23.5782715,577.4319458,6.950750828,Spur and Groove,91742,1057990,-6.0,1048.528198,7731.371094,0,733,Open,37045,43641,8378,1.67589371,70,126,74.0,Marquesas,21234.26563,855670.2,0.403795426,0.382,SPGR_HR,0.912085049
2,2005,July,24.46725,-81.8323666,17.39923858,FLA KEYS,7.506345178,0.749873096,23.551355,595.3202515,6.950180531,Pavement,94607,1058988,-7.0,1441.421387,6641.421387,0,733,Open,37170,44078,8548,1.676707646,70,126,126.0,Marquesas,13956.82617,855670.2,0.392888475,0.3814162855980203,CONT_LR,0.88211198
3,2005,August,24.4687667,-81.8221666,9.2,FLA KEYS,10.0,0.4,23.5564514,590.4435425,6.959806919,Pavement,96139,1060134,-7.0,1341.421387,5641.421387,0,733,Open,37198,44369,8603,1.696852556,70,126,126.0,Marquesas,14876.60742,855670.2,0.38691894,0.3804837940437105,ISOL_LR,0.806049106
4,2005,June,24.47020643,-81.80814803,8.558032379,FLA KEYS,2.870485679,0.289414695,23.5675903,579.8740234,6.914991856,Pavement,98167,1061388,-14.0,900.0,4324.26416,16,733,Open,37685,45235,8752,1.697869976,70,126,126.0,Lower Keys,14697.00195,855670.2,0.383886642,0.3812589712026122,ISOL_LR,0.829155543
5,2005,July,24.4662834,-81.7865333,26.50482077,FLA KEYS,17.62051916,1.2,23.6310059,548.3186035,7.016504765,Spur and Groove,95312,1063041,-13.0,400.0,2041.421387,0,733,Open,38958,46813,9363,1.709672044,70,126,126.0,Lower Keys,0.0,855670.2,0.408741816,0.382,SPGR_LR,0.826780702
6,2005,July,24.4740667,-81.7390666,8.696965866,FLA KEYS,25.01896334,1.1494311,23.6737,547.8463135,6.674623966,Pavement,101151,1067710,-9.0,1082.842773,1389.949463,39,733,Open,39426,48049,9483,1.720456693,76,126,133.0,Lower Keys,187408.0469,855670.2,0.389773705,0.3819082153851212,SPGR_LR,0.934886573
7,2005,June,24.4718334,-81.7338666,20.3,FLA KEYS,6.0,1.3,23.6924072,539.0731201,6.896012306,Pavement,100667,1067974,-18.0,741.4213867,965.6854248,15,733,Open,39426,48047,9483,1.720456693,76,126,133.0,Lower Keys,162343.2656,855670.2,0.39164771,0.3817375453446737,SPGR_LR,0.853694969
8,2005,June,24.47733704,-81.72267951,20.46355353,FLA KEYS,9.817767654,1.7,23.6984192,548.6607056,6.492897511,Aggregate Reef,103773,1069342,-11.0,1000.0,1165.685425,82,733,Closed,39442,48050,9483,0.0,76,126,133.0,Lower Keys,271718.6875,855670.2,0.380079597,0.382,SPGR_LR,0.837964653
9,2005,July,24.47905,-81.7188333,9.5,FLA KEYS,2.493606138,0.849360614,23.7022644,551.6455688,7.095299244,Pavement,105049,1069679,-11.0,1141.421387,1531.37085,82,733,Closed,39442,48050,9483,0.0,76,126,133.0,Lower Keys,296726.5938,855670.2,0.375462879,0.3819179034829837,SPGR_HR,0.890590633
10,2005,July,24.4996333,-81.7032999,5.710949367,FLA KEYS,10.83734177,1.039746835,23.6036011,629.3754883,6.764345169,Individual or Aggregated Patch Reef,119220,1072006,-7.0,2941.421387,4452.691406,178,733,Closed,39670,48056,9484,0.0,76,126,133.0,Lower Keys,811160.5625,855670.2,0.332746184,0.382,ISOL_MR,0.92570237
11,2005,June,24.55089173,-81.70384109,2.049820359,FLA KEYS,28.79041916,1.400538922,23.3097168,1140.273926,6.525731087,Pavement,164846,1075525,-4.0,8700.0,10069.84863,663,745,Closed,40545,48057,9484,0.0,76,126,133.0,Lower Keys,3915944.5,855670.2,0.245956832,0.37866031622315327,ISOL_MR,0.703332929
12,2005,June,24.55108833,-81.70236566,2.391910112,FLA KEYS,9.554494382,1.268932584,23.314447,1138.34375,6.679773331,Pavement,164906,1075764,-4.0,8641.420898,10152.69141,622,745,Closed,40545,48057,9484,0.0,76,177,133.0,Lower Keys,3952119.0,855670.2,0.245867343,0.3786479024174251,ISOL_MR,0.896913849
13,2005,June,24.4902167,-81.66725,7.6,FLA KEYS,3.5,0.65,23.6696411,522.5584717,7.06800127,Spur and Groove,112912,1074016,-10.0,900.0,7035.533691,0,745,Open,40330,48057,9484,1.720456693,76,126,94.0,Lower Keys,352411.5938,855670.2,0.357180813,0.382,CONT_LR,0.842639046
14,2005,June,24.56025,-81.6692499,2.9,FLA KEYS,7.5,1.85,23.4024902,1207.332764,6.538974762,Pavement,166421,1085235,-5.0,8841.420898,12619.5957,342,745,Open,41170,48057,9484,1.720456693,76,177,0.0,Lower Keys,6042246.0,855670.2,0.247384645,0.373232949090764,ISOL_MR,0.602384417
15,2005,August,24.4965667,-81.6512166,9.000798935,FLA KEYS,1.498002663,0.2,23.6488586,536.4830322,7.101005554,Aggregate Reef,115249,1076424,-8.0,1182.842773,8707.106445,0,745,Open,40545,48057,9484,1.720456693,76,177,94.0,Lower Keys,563457.9375,855670.2,0.351803486,0.382,ISOL_LR,0.712672108
16,2005,August,24.4960834,-81.6454832,5.801935484,FLA KEYS,3.509677419,0.350967742,23.6568848,519.9957275,7.109656334,Aggregate Reef,114183,1076993,-8.0,1000.0,8248.52832,0,745,Open,40545,48057,9484,1.720456693,76,177,94.0,Lower Keys,528701.0,855670.2,0.355087885,0.382,CONT_LR,0.789863835
17,2005,August,24.5279833,-81.6445332,5.2,FLA KEYS,25.01940492,0.851358344,23.5553223,855.7657471,6.773651123,Individual or Aggregated Patch Reef,128456,1084435,-7.0,4600.0,9142.640625,67,745,Open,40853,48057,9484,1.720456693,76,177,94.0,Lower Keys,2984734.5,855670.2,0.318031077,0.382,ISOL_MR,0.902030333
18,2005,August,24.5388833,-81.6264666,5.638250653,FLA KEYS,15.0,0.704699739,23.5438782,944.9196167,6.740881443,Individual or Aggregated Patch Reef,134253,1089820,-5.0,5600.0,7839.696777,10,753,Open,41678,48057,9484,1.720456693,76,177,94.0,Lower Keys,4083830.5,855670.2,0.310443714,0.382,ISOL_MR,0.938919631
19,2005,August,24.5370333,-81.6144999,4.9,FLA KEYS,27.47361478,0.901055409,23.5964294,908.4029541,6.935834408,Individual or Aggregated Patch Reef,134370,1091839,-6.0,5082.842773,6556.854492,10,753,Open,36973,48057,9484,1.720456693,76,177,94.0,Lower Keys,3622756.75,855670.2,0.275158145,0.382,ISOL_MR,0.870888342
20,2005,August,24.5042167,-81.5819666,25.90229592,FLA KEYS,10.72363946,1.867517007,23.7898804,543.8468628,7.139214993,Aggregate Reef,122361,1092176,-16.0,741.4213867,1707.106812,0,753,Open,14669,48057,9484,1.720456693,76,177,84.0,Lower Keys,279281.9375,855670.2,0.119882969,0.382,SPGR_LR,0.313605918
21,2005,June,24.51099873,-81.5630689,8.855727924,FLA KEYS,5.874105012,0.927863962,23.7973267,583.2035522,7.167844772,Spur and Groove,123877,1095895,-8.0,900.0,1365.685425,0,683,Open,9531,48556,9590,1.72961347,76,177,84.0,Lower Keys,264406.0313,855670.2,0.076939222,0.374,SPGR_LR,0.834037559
22,2005,July,24.5138167,-81.5431499,16.95,FLA KEYS,7.5,0.85,23.8033081,596.1149292,7.197376728,Aggregate Reef,123918,1098652,-20.0,524.2640991,3062.741699,0,434,Open,6637,49777,9837,1.836442537,76,177,84.0,Lower Keys,112284.9688,855670.2,0.053559612,0.184,SPGR_LR,0.878995909
23,2005,July,24.5110667,-81.5418166,27.7,FLA KEYS,2.0,1.4,23.8080688,569.5324097,7.187879562,Aggregate Reef,121535,1098330,-20.0,200.0,3038.477539,0,434,Open,6637,49777,9837,1.836442537,76,177,84.0,Lower Keys,67612.82813,855670.2,0.054609783,0.184,SPGR_LR,0.343428196
24,2005,July,24.5679167,-81.3251666,7.449220779,FLA KEYS,1.497402597,0.1,23.7912537,614.8688354,7.34498167,Aggregate Reef,127383,1159041,-18.0,1007.106812,882.8427124,23,230,Open,6489,57392,11567,2.404366207,91,62,110.0,Lower Keys,390439.5625,855670.2,0.050940863,0.1,CONT_LR,0.826119218
